# SwiftFloris — Zipf-scale frequency table (French)
# ROADMAP §7 Next-3.2 / docs/archive/SWIFTKEY_PARITY_ROADMAP_2026-05-17 §B1.
# Generated from rspeer/wordfreq 3.1.1 top_n_list + zipf_frequency output.
# Zipf values generated from rspeer/wordfreq 3.1.1 (Apache-2.0); one word<TAB>zipf line per entry.
# Seed top-1000 table; full corpus-sized tables belong in dictionary-pack addons.
date	5.15
dix	5.15
décembre	5.15
laisser	5.15
manque	5.15
mode	5.15
novembre	5.15
petits	5.15
plaisir	5.15
produits	5.15
rencontre	5.15
résultats	5.15
six	5.15
vas	5.15
août	5.14
aurais	5.14
blanc	5.14
canada	5.14
classe	5.14
commence	5.14
comprendre	5.14
demain	5.14
demander	5.14
formation	5.14
liste	5.14
photo	5.14
rôle	5.14
x	5.14
attention	5.13
bout	5.13
conditions	5.13
esprit	5.13
espère	5.13
garde	5.13
internet	5.13
intérieur	5.13
intérêt	5.13
mouvement	5.13
noir	5.13
origine	5.13
présente	5.13
regarde	5.13
rouge	5.13
sortie	5.13
auteur	5.12
bonjour	5.12
février	5.12
ii	5.12
justice	5.12
langue	5.12
meilleure	5.12
met	5.12
occasion	5.12
offre	5.12
perdu	5.12
politiques	5.12
qualité	5.12
r	5.12
risque	5.12
scène	5.12
sinon	5.12
travaux	5.12
voici	5.12
appelle	5.11
cadre	5.11
changer	5.11
entreprises	5.11
grandes	5.11
libre	5.11
premiers	5.11
production	5.11
semaines	5.11
vieux	5.11
connais	5.10
facile	5.10
image	5.10
lien	5.10
mer	5.10
photos	5.10
pire	5.10
rester	5.10
sauf	5.10
source	5.10
troisième	5.10
aider	5.09
ami	5.09
b	5.09
campagne	5.09
coupe	5.09
cour	5.09
durant	5.09
faisait	5.09
objet	5.09
oh	5.09
partout	5.09
plupart	5.09
problèmes	5.09
seconde	5.09
valeur	5.09
étude	5.09
études	5.09
chacun	5.08
cher	5.08
devient	5.08
données	5.08
dû	5.08
etat	5.08
hein	5.08
hors	5.08
joue	5.08
lequel	5.08
montre	5.08
national	5.08
particulier	5.08
penser	5.08
poste	5.08
présent	5.08
publique	5.08
réponse	5.08
réseau	5.08
salle	5.08
texte	5.08
veulent	5.08
appel	5.07
celles	5.07
certain	5.07
contrôle	5.07
dois	5.07
message	5.07
position	5.07
république	5.07
succès	5.07
économique	5.07
activité	5.06
américain	5.06
association	5.06
carte	5.06
chercher	5.06
connu	5.06
création	5.06
devenir	5.06
euros	5.06
expérience	5.06
filles	5.06
fonction	5.06
impression	5.06
louis	5.06
nature	5.06
putain	5.06
simplement	5.06
