# SwiftFloris — Zipf-scale frequency table (German)
# ROADMAP §7 Next-3.2 / docs/archive/SWIFTKEY_PARITY_ROADMAP_2026-05-17 §B1.
# Generated from rspeer/wordfreq 3.1.1 top_n_list + zipf_frequency output.
# Zipf values generated from rspeer/wordfreq 3.1.1 (Apache-2.0); one word<TAB>zipf line per entry.
# Seed top-1000 table; full corpus-sized tables belong in dictionary-pack addons.
schliesslich	5.23
stellt	5.23
team	5.23
and	5.22
buch	5.22
dinge	5.22
dürfen	5.22
früher	5.22
geworden	5.22
ii	5.22
l	5.22
prozent	5.22
sohn	5.22
spass	5.22
stelle	5.22
v	5.22
wort	5.22
bereich	5.21
besteht	5.21
bringt	5.21
ernst	5.21
gross	5.21
mensch	5.21
mädchen	5.21
o	5.21
vater	5.21
zukunft	5.21
all	5.20
darum	5.20
eigene	5.20
fahren	5.20
fest	5.20
form	5.20
frei	5.20
idee	5.20
jedes	5.20
keiner	5.20
liegen	5.20
neues	5.20
passiert	5.20
österreich	5.20
bevor	5.19
gegeben	5.19
hamburg	5.19
jedem	5.19
manchmal	5.19
raus	5.19
super	5.19
t	5.19
tut	5.19
wahl	5.19
wert	5.19
wien	5.19
einzige	5.18
entwicklung	5.18
folgen	5.18
freunde	5.18
führt	5.18
helfen	5.18
kosten	5.18
könnten	5.18
obwohl	5.18
sehe	5.18
suchen	5.18
weiteren	5.18
ziel	5.18
ziemlich	5.18
angst	5.17
ca	5.17
dadurch	5.17
erfolg	5.17
hause	5.17
krieg	5.17
lage	5.17
läuft	5.17
mai	5.17
probleme	5.17
september	5.17
to	5.17
verstehen	5.17
voll	5.17
wann	5.17
wieso	5.17
afd	5.16
alt	5.16
aufgrund	5.16
brauchen	5.16
innerhalb	5.16
insgesamt	5.16
klasse	5.16
konnten	5.16
nimmt	5.16
ok	5.16
preis	5.16
rein	5.16
rolle	5.16
stimmt	5.16
tagen	5.16
tod	5.16
völlig	5.16
zudem	5.16
ach	5.15
ausser	5.15
cdu	5.15
gekommen	5.15
gern	5.15
gestern	5.15
irgendwie	5.15
kirche	5.15
meist	5.15
märz	5.15
na	5.15
seines	5.15
trotz	5.15
vergessen	5.15
verschiedenen	5.15
vorbei	5.15
zahlen	5.15
anderes	5.14
blick	5.14
dagegen	5.14
deinen	5.14
ebenso	5.14
führen	5.14
kaufen	5.14
lernen	5.14
meinung	5.14
name	5.14
partei	5.14
reden	5.14
seiten	5.14
w	5.14
willst	5.14
wobei	5.14
zweite	5.14
hält	5.13
jungen	5.13
moment	5.13
schlecht	5.13
sechs	5.13
spiele	5.13
spielt	5.13
sprechen	5.13
video	5.13
x	5.13
august	5.12
bilder	5.12
dachte	5.12
glauben	5.12
mitte	5.12
november	5.12
scheisse	5.12
sowohl	5.12
st	5.12
wahrscheinlich	5.12
april	5.11
deiner	5.11
einigen	5.11
frankfurt	5.11
freund	5.11
insbesondere	5.11
p	5.11
per	5.11
peter	5.11
raum	5.11
spricht	5.11
system	5.11
tatsächlich	5.11
z	5.11
anderem	5.10
bekommt	5.10
erreicht	5.10
gemeinsam	5.10
juli	5.10
juni	5.10
links	5.10
mach	5.10
new	5.10
nämlich	5.10
oktober	5.10
schaffen	5.10
setzen	5.10
suche	5.10
versucht	5.10
bedeutet	5.09
einsatz	5.09
f	5.09
falls	5.09
gleichzeitig	5.09
grosser	5.09
habt	5.09
hören	5.09
ihres	5.09
köln	5.09
möglichkeit	5.09
nr	5.09
rahmen	5.09
rechts	5.09
sachen	5.09
schweiz	5.09
stück	5.09
welches	5.09
fällt	5.08
genommen	5.08
hoffe	5.08
höhe	5.08
job	5.08
liess	5.08
michael	5.08
nächste	5.08
sex	5.08
sommer	5.08
stunde	5.08
titel	5.08
tochter	5.08
unseren	5.08
wohnung	5.08
wären	5.08
zahl	5.08
zehn	5.08
handelt	5.07
kennen	5.07
kunst	5.07
mitarbeiter	5.07
sah	5.07
sorgen	5.07
sprache	5.07
verloren	5.07
weise	5.07
zumindest	5.07
übrigens	5.07
bad	5.06
band	5.06
chance	5.06
fehler	5.06
g	5.06
gebracht	5.06
